Id,CourseId,Name,Credits,CourseGroupId,Prerequisites,RecommendedSemester,SpecialityIds,BranchIds
1,MT1003,Giải tích 1,4,,,1,"1, 2, 3, 4, 5",1
2,MT1005,Giải tích 2,4,,1,2,"1, 2, 3, 4, 5",1
3,MT1007,Đại số tuyến tính,3,,,2,"1, 2, 3, 4, 5",1
4,MT2013,Xác suất và thống kê,4,,"1, 3",4,"1, 2, 3, 4, 5",1
5,CH1003,Hóa đại cương,3,,,5,"1, 2, 3, 4, 5",1
6,PH1003,Vật lý 1,4,,,1,"1, 2, 3, 4, 5",1
7,PH1007,Thí nghiệm vật lý,1,,,2,"1, 2, 3, 4, 5",1
8,CO1007,Cấu trúc rời rạc cho khoa học máy tính,4,,,2,"1, 2, 3, 4, 5",1
9,CO2011,Mô hình hóa toán học,3,,8,3,"1, 2, 3, 4, 5",1
10,SP1007,Pháp luật Việt Nam đại cương,2,,,8,"1, 2, 3, 4, 5",1
11,SP1031,Triết học Mác - Lênin,3,,,3,"1, 2, 3, 4, 5",1
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,11,4,"1, 2, 3, 4, 5",1
13,SP1035,Chủ nghĩa xã hội khoa học,2,,12,5,"1, 2, 3, 4, 5",1
14,SP1037,Tư tưởng Hồ Chí Minh,2,,15,7,"1, 2, 3, 4, 5",1
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,13,6,"1, 2, 3, 4, 5",1
16,CO1005,Nhập môn điện toán,3,,,1,"1, 2, 3, 4, 5",1
17,IM1013,Kinh tế học đại cương,3,1,,7,"1, 2, 3, 4, 5",1
18,IM1023,Quản lý sản xuất cho kỹ sư,3,1,,7,"1, 2, 3, 4, 5",1
19,IM1025,Quản lý dự án cho kỹ sư,3,1,,7,"1, 2, 3, 4, 5",1
20,IM1027,Kinh tế kỹ thuật,3,1,,7,"1, 2, 3, 4, 5",1
21,IM3001,Quản trị kinh doanh cho kỹ sư,3,1,,7,"1, 2, 3, 4, 5",1
22,CO2001,Kỹ năng chuyên nghiệp cho kỹ sư,3,,16,6,"1, 2, 3, 4, 5",1
23,LA1003,Anh văn 1,2,,,1,"1, 2, 3, 4, 5",1
24,LA1005,Anh văn 2,2,,23,2,"1, 2, 3, 4, 5",1
25,LA1007,Anh văn 3,2,,24,3,"1, 2, 3, 4, 5",1
26,LA1009,Anh văn 4,3,,25,4,"1, 2, 3, 4, 5",1
27,CO1023,Hệ thống số,3,,,1,"1, 2, 3, 4, 5",1
28,CO1027,Kỹ thuật lập trình,3,,,2,"1, 2, 3, 4, 5",1
29,CO2003,Cấu trúc dữ liệu và giải thuật,4,,"8, 28",3,"1, 2, 3, 4, 5",1
30,CO2007,Kiến trúc máy tính,4,,"16, 27",3,"1, 2, 3, 4, 5",1
31,CO2013,Hệ cơ sở dữ liệu,4,,,5,"1, 2, 3, 4, 5",1
32,CO2039,Lập trình nâng cao,3,,,4,"1, 2, 3, 4, 5",1
33,CO2017,Hệ điều hành,3,,,4,"1, 2, 3, 4, 5",1
34,CO3001,Công nghệ phần mềm,3,,28,5,"1, 2, 3, 4, 5",1
35,CO3005,Nguyên lý ngôn ngữ lập trình,4,,28,6,"1, 2, 3, 4, 5",1
