 ,TopicId,Title,Format,Structure,LearningResourceType,Difficulty,InteractivityType,AggregationLevel,InteractivityLevel,SemanticDensity,LOexev,MaxScore,MaxLearningTime
1,1,LearningObject1,Video,Atomic,ProblemStatement,8,Expositive,1,VeryHigh,VeryLow,Explanatory,95,66
2,1,LearningObject2,Application,Networked,Table,6,Expositive,1,Low,Medium,Evaluative,85,45
3,1,LearningObject3,Audio,Linear,Questionnaire,9,Mixed,2,VeryLow,Low,Explanatory,1,41
4,1,LearningObject4,Application,Networked,Questionnaire,6,Mixed,1,Low,Low,Evaluative,10,29
5,1,LearningObject5,Text,Networked,Figure,9,Mixed,2,VeryHigh,VeryLow,Explanatory,46,97
6,2,LearningObject6,Application,Collection,Simulation,9,Active,1,VeryLow,VeryLow,Evaluative,37,26
7,2,LearningObject7,Text,Atomic,Questionnaire,7,Active,2,High,Medium,Explanatory,20,112
8,2,LearningObject8,Video,Hierarchical,Index,9,Expositive,2,Low,VeryLow,Explanatory,64,30
9,2,LearningObject9,Text,Atomic,Index,7,Mixed,1,Medium,VeryLow,Explanatory,25,70
10,3,LearningObject10,Audio,Collection,Exam,8,Active,1,High,Low,Explanatory,27,50
11,3,LearningObject11,Text,Networked,Index,7,Mixed,1,High,VeryHigh,Explanatory,60,66
12,3,LearningObject12,Form,Atomic,Diagram,8,Expositive,2,Medium,Medium,Evaluative,95,18
13,4,LearningObject13,Video,Hierarchical,Experiment,7,Expositive,2,VeryLow,VeryLow,Explanatory,84,33
14,4,LearningObject14,Application,Hierarchical,Questionnaire,8,Expositive,1,Medium,Low,Evaluative,4,112
15,4,LearningObject15,Image,Linear,Figure,7,Expositive,1,VeryLow,VeryHigh,Evaluative,90,31
16,4,LearningObject16,Video,Atomic,Experiment,4,Mixed,2,High,High,Explanatory,44,39
17,5,LearningObject17,Application,Atomic,Diagram,5,Active,1,Medium,Medium,Evaluative,65,45
18,5,LearningObject18,Text,Networked,Table,6,Active,1,Low,Low,Explanatory,81,108
19,5,LearningObject19,Audio,Hierarchical,Experiment,6,Mixed,1,Low,VeryHigh,Explanatory,47,51
20,5,LearningObject20,Audio,Atomic,SelfAssessment,10,Active,2,High,VeryHigh,Explanatory,27,4
